id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2328929	0.128367942458401	0.152906514607323	0	0.0156348091292527	0	0.0369673978296692	0	0.17634407267594	0	0.154674699112913	0	0.0897588110038222	0	0.0120102303078168	0.0894462738726803	0.101691099716698	0.0150584942781484	0	0	0.000240126213009432	0.0268995287943252	0
GSM2328930	0.331141235470146	0	0.0226483678945572	0.00903629373273965	0.0458009123886108	0	0.193638825503512	0.0238511201652251	0	0.185672656529484	0	0	0	0.0837027326167644	0.0133436808258233	0.0411679140788023	0	0.0224327289076939	0.0185302949467973	0	0.00371531685845821	0.0053179200813862
GSM2328931	0.0974760271502482	0.00353373040218725	0	0	0.0355208469098529	0.105904924986247	0.0610139029406359	0.18868320965298	0	0.232468876458205	0	0	0	0.144212427850756	0.0893924928485556	0.0217201278326782	0	0	0.0150649343735893	0	0	0.00500849859406509
GSM2328932	0.0556954804125314	0	0	0.0101526084010521	0	0	0.052819125290901	0.128856288414305	0	0.238858022995334	0	0.0382577195100282	0	0.329972167045584	0.0993155559988471	0.0322474861897445	0	0	0.00988212177562276	0	0.00394342396605014	0
GSM2328933	0.0069413602269262	0.0305973364825481	0.0131872375458986	0.101060771859593	0	0	0.155426475047986	0.0565599979418449	0	0.354168016816877	0	0.00575572971544817	0	0.0713723001818464	0.0673121069949191	0.102933595468125	0	0.0274092123896392	0	0.00727585932834804	0	0
GSM2328934	0.0759551297809488	0	0	0.0701212118837904	0	0	0.0364108655988561	0.0806417432671798	0	0.278456758541915	0	0.00402519588040171	0	0.298883330430046	0.137945298031033	0.00190215680805251	0	0	0.0149020980650581	0	0.000756211712718999	0
GSM2328935	0.053759345625129	0	0	0.00345478101429968	0	0.0398132601237106	0.0831921045081014	0.125327139301438	0	0.254627195530037	0	0	0	0.247590222704662	0.123581255487047	0.0585896935757579	0	0	0	0.00731484680828434	0	0.00275015532153293
GSM2328936	0.025590327860702	0.0417760618039901	0	0.0681322856395933	0	0	0.082472327156784	0.0936790455447727	0	0.0908191601807906	0	0.022846212313499	0	0.512845214353586	0.048227270219546	0.010492954413746	0	0	0	0.0031191405129899	0	0
GSM2328937	0.0690320419599156	0	0.0570550441956948	0	0.0765655212577371	0.0299128933179112	0.129730315652677	0.0923251317002489	0	0.365284463451077	0	0	0	0.103547975567583	0.0347784304347634	0.0281624598165514	0	0	0	0	0	0.0136057226458402
GSM2328938	0.211355785430943	0	0	0	0	0.0738177656534539	0.0614378644325275	0.0608942165780198	0	0.15750769574862	0	0.00789730605843859	0	0.22496621449826	0.137946215634763	0.0408429390116496	0.00645356051118277	0	0	0	0	0.0168804364421414
GSM2328939	0.222944969160272	0	0	0	0	0	0.057990958971302	0.0987515360804319	0.029433337250317	0.124139278636498	0	0	0	0.190931640288088	0.125729336388105	0.108976576225945	0.0126948190790035	0	0	0.010835621421359	0.00637827784871797	0.0111936486499606
